sentence,label,cleaned title,docs,entities
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",2,"foundries division reports its sales increased by 9.7 % to eur 63.1 mn from eur 57.5 mn in the corresponding period in 2006 , and sales of the machine shop division increased by 16.4 % to eur 41.2 mn from eur 35.4 mn in the corresponding period in 2006 .","['foundry', 'division', 'report', 'sale', 'increase', '9.7', 'eur', '63.1', 'mn', 'eur', '57.5', 'mn', 'corresponding', 'period', '2006', 'sale', 'machine', 'shop', 'division', 'increase', '16.4', 'eur', '41.2', 'mn', 'eur', '35.4', 'mn', 'corresponding', 'period', '2006']",foundry division report sale increase 9.7 eur 63.1 mn eur 57.5 mn corresponding period 2006 sale machine shop division increase 16.4 eur 41.2 mn eur 35.4 mn corresponding period 2006
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",2,"helsinki ( afx ) - shares closed higher , led by nokia after it announced plans to team up with sanyo to manufacture 3g handsets , and by nokian tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .","['helsinki', 'afx', 'share', 'close', 'high', 'lead', 'nokia', 'announce', 'plan', 'team', 'sanyo', 'manufacture', '3', 'g', 'handset', 'nokian', 'tyre', 'fourth', 'quarter', 'earning', 'report', 'beat', 'analyst', 'expectation', 'dealer']",helsinki afx share close high lead nokia announce plan team sanyo manufacture 3 g handset nokian tyre fourth quarter earning report beat analyst expectation dealer
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",2,"incap contract manufacturing services pvt ltd , a subsidiary of incap corporation of finland , plans to double its revenues by 2007-2008 .","['incap', 'contract', 'manufacturing', 'services', 'pvt', 'ltd', 'subsidiary', 'incap', 'corporation', 'finland', 'plan', 'double', 'revenue', '2007', '2008']",incap contract manufacturing services pvt ltd subsidiary incap corporation finland plan double revenue 2007 2008
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",2,"its board of directors will propose a dividend of eur0 .12 per share for 2010 , up from the eur0 .08 per share paid in 2009 .","['board', 'director', 'propose', 'dividend', 'eur0', '.12', 'share', '2010', 'eur0', '.08', 'share', 'pay', '2009']",board director propose dividend eur0 .12 share 2010 eur0 .08 share pay 2009
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",2,"lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .","['lifetree', 'found', '2000', 'revenue', 'rise', 'average', '40', 'margin', 'late', '30']",lifetree found 2000 revenue rise average 40 margin late 30
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",2,"megafon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of december 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to teliasonera estimates .","['megafon', 'subscriber', 'base', 'increase', '16.1', '2009', '50.5', 'million', 'user', 'december', '31', 'market', 'share', 'number', 'customer', '24', 'late', '2009', '23', 'late', '2008', 'accord', 'teliasonera', 'estimate']",megafon subscriber base increase 16.1 2009 50.5 million user december 31 market share number customer 24 late 2009 23 late 2008 accord teliasonera estimate
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",2,"net income from life insurance doubled to eur 6.8 mn from eur 3.2 mn , and net income from non-life insurance rose to eur 5.2 mn from eur 1.5 mn in the corresponding period in 2009 .","['net', 'income', 'life', 'insurance', 'double', 'eur', '6.8', 'mn', 'eur', '3.2', 'mn', 'net', 'income', 'non', 'life', 'insurance', 'rise', 'eur', '5.2', 'mn', 'eur', '1.5', 'mn', 'corresponding', 'period', '2009']",net income life insurance double eur 6.8 mn eur 3.2 mn net income non life insurance rise eur 5.2 mn eur 1.5 mn corresponding period 2009
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),2,net sales increased to eur193 .3 m from eur179 .9 m and pretax profit rose by 34.2 % to eur43 .1 m. ( eur1 = usd1 .4 ),"['net', 'sale', 'increase', 'eur193', '.3', 'm', 'eur179', '.9', 'm', 'pretax', 'profit', 'rise', '34.2', 'eur43', '.1', 'm.', 'eur1', '=', 'usd1', '.4']",net sale increase eur193 .3 m eur179 .9 m pretax profit rise 34.2 eur43 .1 m. eur1 = usd1 .4
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",2,"net sales surged by 18.5 % to eur167 .8 m. teleste said that eur20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .","['net', 'sale', 'surge', '18.5', 'eur167', '.8', 'm.', 'teleste', 'eur20', '.4', 'm', '12.2', 'sale', 'come', 'acquisition', '2009']",net sale surge 18.5 eur167 .8 m. teleste eur20 .4 m 12.2 sale come acquisition 2009
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,2,nordea group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,"['nordea', 'group', 'operating', 'profit', 'increase', '2010', '18', 'percent', 'year', 'year', '3.64', 'billion', 'euro', 'total', 'revenue', '3', 'percent', '9.33', 'billion', 'euro']",nordea group operating profit increase 2010 18 percent year year 3.64 billion euro total revenue 3 percent 9.33 billion euro
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",2,"operating profit for the nine-month period increased from eur13 .6 m , while net sales increased from eur394 .7 m , as compared to the corresponding period in 2005 .","['operate', 'profit', 'month', 'period', 'increase', 'eur13', '.6', 'm', 'net', 'sale', 'increase', 'eur394', '.7', 'm', 'compare', 'corresponding', 'period', '2005']",operate profit month period increase eur13 .6 m net sale increase eur394 .7 m compare corresponding period 2005
"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",2,"operating profit for the nine-month period increased from eur3 .1 m and net sales increased from eur61 .5 m , as compared to the corresponding period in 2007 .","['operate', 'profit', 'month', 'period', 'increase', 'eur3', '.1', 'm', 'net', 'sale', 'increase', 'eur61', '.5', 'm', 'compare', 'corresponding', 'period', '2007']",operate profit month period increase eur3 .1 m net sale increase eur61 .5 m compare corresponding period 2007
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",2,"operating profit for the three-month period increased from eur1 .2 m , while revenue increased from eur20 .2 m , as compared to the corresponding period in 2005 .","['operate', 'profit', 'month', 'period', 'increase', 'eur1', '.2', 'm', 'revenue', 'increase', 'eur20', '.2', 'm', 'compare', 'corresponding', 'period', '2005']",operate profit month period increase eur1 .2 m revenue increase eur20 .2 m compare corresponding period 2005
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",2,"the brazilian unit of finnish security solutions provider f-secure signed up 1,500 new clients last year , online news source reseller web quoted the division 's commercial director , vladimir brand+úo , as saying .","['brazilian', 'unit', 'finnish', 'security', 'solution', 'provider', 'f', 'secure', 'sign', '1,500', 'new', 'client', 'year', 'online', 'news', 'source', 'reseller', 'web', 'quote', 'division', 'commercial', 'director', 'vladimir', 'brand+úo']","brazilian unit finnish security solution provider f secure sign 1,500 new client year online news source reseller web quote division commercial director vladimir brand+úo"
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",2,"the company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .","['company', 'net', 'profit', 'rise', '11.4', 'year', '82.2', 'million', 'euro', '2005', 'sale', '686.5', 'million', 'euro', '13.8', 'year', 'company', 'early']",company net profit rise 11.4 year 82.2 million euro 2005 sale 686.5 million euro 13.8 year company early
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",2,"the lithuanian beer market made up 14.41 million liters in january , a rise of 0.8 percent from the year-earlier figure , the lithuanian brewers ' association reporting citing the results from its members .","['lithuanian', 'beer', 'market', '14.41', 'million', 'liter', 'january', 'rise', '0.8', 'percent', 'year', 'early', 'figure', 'lithuanian', 'brewer', 'association', 'report', 'cite', 'result', 'member']",lithuanian beer market 14.41 million liter january rise 0.8 percent year early figure lithuanian brewer association report cite result member
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",2,"viking line 's cargo revenue increased by 5.4 % to eur 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .","['vike', 'line', 'cargo', 'revenue', 'increase', '5.4', 'eur', '21.46', 'mn', 'cargo', 'volume', 'increase', '2.4', '70,116', 'cargo', 'unit']","vike line cargo revenue increase 5.4 eur 21.46 mn cargo volume increase 2.4 70,116 cargo unit"
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",2,"the fair value of the property portfolio doubled as a result of the kapiteeli acquisition and totalled eur 2,686.2 1,259.7 million .","['fair', 'value', 'property', 'portfolio', 'double', 'result', 'kapiteeli', 'acquisition', 'total', 'eur', '2,686.2', '1,259.7', 'million']","fair value property portfolio double result kapiteeli acquisition total eur 2,686.2 1,259.7 million"
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,2,10 february 2011 - finnish media company sanoma oyj hel  saa1v said yesterday its 2010 net profit almost tripled to eur297 .3 m from eur107 .1 m for 2009 and announced a proposal for a raised payout .,"['10', 'february', '2011', 'finnish', 'medium', 'company', 'sanoma', 'oyj', 'hel', ' ', 'saa1v', 'yesterday', '2010', 'net', 'profit', 'triple', 'eur297', '.3', 'm', 'eur107', '.1', 'm', '2009', 'announce', 'proposal', 'raise', 'payout']",10 february 2011 finnish medium company sanoma oyj hel   saa1v yesterday 2010 net profit triple eur297 .3 m eur107 .1 m 2009 announce proposal raise payout
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",2,"a helsinki  eliiv today reported eps of eur1 .13 for 2009 , an increase over eps of eur1 .12 in 2008 .","['helsinki', ' ', 'eliiv', 'today', 'report', 'eps', 'eur1', '.13', '2009', 'increase', 'eps', 'eur1', '.12', '2008']",helsinki   eliiv today report eps eur1 .13 2009 increase eps eur1 .12 2008
"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",2,"aspo plc stock exchange release february 11 , 2011 at8 .45 a.m. esl shipping ltd , part of aspo group , has signed a new , long-term contract with rautaruukki corporation for the marine transport of raw materials on the baltic sea .","['aspo', 'plc', 'stock', 'exchange', 'release', 'february', '11', '2011', 'at8', '.45', 'a.m.', 'esl', 'shipping', 'ltd', 'aspo', 'group', 'sign', 'new', 'long', 'term', 'contract', 'rautaruukki', 'corporation', 'marine', 'transport', 'raw', 'material', 'baltic', 'sea']",aspo plc stock exchange release february 11 2011 at8 .45 a.m. esl shipping ltd aspo group sign new long term contract rautaruukki corporation marine transport raw material baltic sea
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",2,"commission income increased by 22 % to eur 4.4 mn , and lending volume rose by 13.5 % .","['commission', 'income', 'increase', '22', 'eur', '4.4', 'mn', 'lending', 'volume', 'rise', '13.5']",commission income increase 22 eur 4.4 mn lending volume rise 13.5
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",2,"in january , traffic , measured in revenue passenger kilometres rpk , went up by 3.2 % and capacity , measured in available seat kilometres ask , rose by 12.2 % .","['january', 'traffic', 'measure', 'revenue', 'passenger', 'kilometre', 'rpk', '3.2', 'capacity', 'measure', 'available', 'seat', 'kilometre', 'ask', 'rise', '12.2']",january traffic measure revenue passenger kilometre rpk 3.2 capacity measure available seat kilometre ask rise 12.2
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",2,"in january-september 2010 , fiskars ' net profit went up by 14 % year-on-year to eur 65.4 million and net sales to eur 525.3 million from eur 487.7 million .","['january', 'september', '2010', 'fiskar', 'net', 'profit', '14', 'year', 'year', 'eur', '65.4', 'million', 'net', 'sale', 'eur', '525.3', 'million', 'eur', '487.7', 'million']",january september 2010 fiskar net profit 14 year year eur 65.4 million net sale eur 525.3 million eur 487.7 million
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",2,"net income from life insurance rose to eur 16.5 mn from eur 14.0 mn , and net income from non-life insurance to eur 22.6 mn from eur 15.2 mn in 2009 .","['net', 'income', 'life', 'insurance', 'rise', 'eur', '16.5', 'mn', 'eur', '14.0', 'mn', 'net', 'income', 'non', 'life', 'insurance', 'eur', '22.6', 'mn', 'eur', '15.2', 'mn', '2009']",net income life insurance rise eur 16.5 mn eur 14.0 mn net income non life insurance eur 22.6 mn eur 15.2 mn 2009
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",2,"nyrstar has also agreed to supply to talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in talvivaara 's leaching process during the period of supply of the zinc in concentrate .","['nyrstar', 'agree', 'supply', 'talvivaara', '150,000', 'tonne', 'sulphuric', 'acid', 'annum', 'use', 'talvivaara', 'leach', 'process', 'period', 'supply', 'zinc', 'concentrate']","nyrstar agree supply talvivaara 150,000 tonne sulphuric acid annum use talvivaara leach process period supply zinc concentrate"
Sales have risen in other export markets .,2,sales have risen in other export markets .,"['sale', 'rise', 'export', 'market']",sale rise export market
Sales increased due to growing market rates and increased operations .,2,sales increased due to growing market rates and increased operations .,"['sale', 'increase', 'grow', 'market', 'rate', 'increase', 'operation']",sale increase grow market rate increase operation
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,2,the agreement strengthens our long-term partnership with nokia siemens networks .,"['agreement', 'strengthen', 'long', 'term', 'partnership', 'nokia', 'siemens', 'network']",agreement strengthen long term partnership nokia siemens network
"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",2,"the agreement was signed with biohit healthcare ltd , the uk-based subsidiary of biohit oyj , a finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .","['agreement', 'sign', 'biohit', 'healthcare', 'ltd', 'uk', 'base', 'subsidiary', 'biohit', 'oyj', 'finnish', 'public', 'company', 'develop', 'manufacture', 'market', 'liquid', 'handling', 'product', 'diagnostic', 'test', 'system']",agreement sign biohit healthcare ltd uk base subsidiary biohit oyj finnish public company develop manufacture market liquid handling product diagnostic test system
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,2,the company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached eur 141.7 million .,"['company', 'estimate', 'carry', 'investment', 'lead', 'increase', 'net', 'sale', '2010', '2009', 'reach', 'eur', '141.7', 'million']",company estimate carry investment lead increase net sale 2010 2009 reach eur 141.7 million
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",2,"the company 's order book stood at 1.5 bln euro $ 2.2 bln on september 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .","['company', 'order', 'book', 'stand', '1.5', 'bln', 'euro', '$', '2.2', 'bln', 'september', '30', '2007', '24.2', 'pct', 'year', 'international', 'order', '365', 'mln', 'euro', '$', '534.3', 'mln']",company order book stand 1.5 bln euro $ 2.2 bln september 30 2007 24.2 pct year international order 365 mln euro $ 534.3 mln
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",2,"the company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .","['company', 'paper', 'demand', 'increase', 'main', 'market', 'include', 'publication', 'paper', 'increase', 'average', 'paper', 'price', '4', 'percent', 'compare', 'year']",company paper demand increase main market include publication paper increase average paper price 4 percent compare year
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",2,"the world 's second largest stainless steel maker said net profit in the three-month period until dec. 31 surged to euro603 million us$ 781 million , or euro3 .33 us$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .","['world', 'second', 'large', 'stainless', 'steel', 'maker', 'net', 'profit', 'month', 'period', 'dec', '31', 'surge', 'euro603', 'million', 'us$', '781', 'million', 'euro3', '.33', 'us$', '4.31', 'share', 'euro172', 'million', 'euro0', '.94', 'share', 'previous', 'year']",world second large stainless steel maker net profit month period dec 31 surge euro603 million us$ 781 million euro3 .33 us$ 4.31 share euro172 million euro0 .94 share previous year
"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",2,"within the framework of the partnership , nokia siemens networks has signed an initial framework purchase agreement with sitronics subsidiary , jsc mikron , which is the largest manufacturer and exporter of microelectronic components in russia .","['framework', 'partnership', 'nokia', 'siemen', 'network', 'sign', 'initial', 'framework', 'purchase', 'agreement', 'sitronic', 'subsidiary', 'jsc', 'mikron', 'large', 'manufacturer', 'exporter', 'microelectronic', 'component', 'russia']",framework partnership nokia siemen network sign initial framework purchase agreement sitronic subsidiary jsc mikron large manufacturer exporter microelectronic component russia
"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",2,"seppala 's revenue increased by 0.2 % to eur10 .1 m. in finland , revenue went down by 2.4 % to eur6 .8 m , while sales abroad rose by 6.2 % to eur3 .3 m. sales increased in all the baltic countries as well as in russia and ukraine .","['seppala', 'revenue', 'increase', '0.2', 'eur10', '.1', 'm.', 'finland', 'revenue', '2.4', 'eur6', '.8', 'm', 'sale', 'abroad', 'rise', '6.2', 'eur3', '.3', 'm.', 'sale', 'increase', 'baltic', 'country', 'russia', 'ukraine']",seppala revenue increase 0.2 eur10 .1 m. finland revenue 2.4 eur6 .8 m sale abroad rise 6.2 eur3 .3 m. sale increase baltic country russia ukraine
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",2,"shares of standard chartered ( stan ) rose 1.2 % in the ftse 100 , while royal bank of scotland ( rbs ) shares rose 2 % and barclays shares ( barc ) ( bcs ) were up 1.7 % .","['share', 'standard', 'charter', 'stan', 'rise', '1.2', 'ftse', '100', 'royal', 'bank', 'scotland', 'rbs', 'share', 'rise', '2', 'barclay', 'share', 'barc', 'bcs', '1.7']",share standard charter stan rise 1.2 ftse 100 royal bank scotland rbs share rise 2 barclay share barc bcs 1.7
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,2,shares of nokia corp. rose thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,"['share', 'nokia', 'corp', 'rise', 'thursday', 'cell', 'phone', 'maker', 'quarter', 'earning', 'double', 'share', 'global', 'handset', 'market', 'increase']",share nokia corp rise thursday cell phone maker quarter earning double share global handset market increase
