entities,label
finnish high technology provider vaahto group report net sale eur accounting period september february increase year early,2
net sale finnish food industry company ñnnen tehtaat continue operation increase eur eur,2
biohit service current genesis customer customer base expect expand result agreement,2
operate profit turnover month period increase respectively eur eur compare corresponding period,2
circulation revenue increase finland sweden,2
clothing chain sepp net sale increase eur,2
construction volume grow rate percent annually,2
biohit estimate total net sale continue grow favourable trend net sale lead profit,2
fiskar cash flow operating activity eur eur previous year,2
lithuania operating profit rise eur eur corresponding period,2
fourth quarter net sale increase eur eur fourth quarter,2
international sale rise eur,2
net sale grow period million million million,2
net sale increase eur april june eur year early,2
net sale rise year year eur number charger deliver million piece,2
net sale total eur eur corresponding period,2
operate profit increase eur eur,2
operate profit margin increase,2
operating profit rise eur eur corresponding period,2
operating profit rise eur eur fourth quarter,2
operating profit eur eur,2
ramirent net sale second quarterended june euro million million percent increase compare euro million thesecond quarter year,2
revenue grow percent million million million,2
ruukki delivery volume sell price favourable development company comparable net sale grow year year eur ceo sakari tamminen,2
company consolidated operating profit eur eur year year,2
department store division report increase sale cent,2
fair value company investment property grow eur billion end march eur million year ago,2
quarter good quarter net sale operate margin rise,2
major brewery increase domestic beer sale cent year million litre million litre,2
operating profit rise eur million,2
october finnish fishing tackle company rapala vmc corp hel rap today net profit rise eur month eur period year early,2
accord finnish metso mineral value company order eur month,2
finnish bank àland report operating profit rise eur second quarter eur corresponding period,2
finnish financial group aktia operating profit increase eur eur,2
finnish forest machinery manufacturer ponsse net sale grow eur quarter eur corresponding period,2
finnish kci konecrane raise net sale growth estimate,2
accord hkscan finland plan increase ñrvi suomen portti net sale eur eur,2
advertising circulation revenue grow respectively,2
end march group order book eur corresponding period,2
time profit company increase reach,2
operating profit net sale month period increase respectively eur eur compare financial year,2
operating profit net sale month period increase respectively eur eur compare financial year,2
operating profit net sale month period increase respectively eur eur compare,2
operating profit net sale month period increase respectively eur eur compare,2
operating profit net sale month period increase respectively compare corresponding period,2
operating profit net sale month period increase respectively eur eur compare corresponding period,2
operating profit net sale month period increase respectively eur eur compare corresponding period,2
operating profit net sale month period increase respectively eur eur compare corresponding period,2
operating profit net sale month period increase respectively eur eur compare corresponding period,2
operating profit net sale month period increase respectively eur eur compare corresponding period,2
operating profit net sale month period increase respectively eur eur compare corresponding quarter,2
operate profit sale month period increase respectively eur eur compare corresponding period,2
operate profit turnover month period increase respectively eur eur compare corresponding period year ago,2
operate profit turnover month period increase respectively eur eur compare corresponding period,2
operate profit turnover month period increase respectively eur eur compare corresponding period year ago,2
cargo volume increase approximately,2
comparable operating profit total eur eur,2
digia consolidated net sale january june eur period eur,2
dilute earning share eps rise eur eur,2
dilute earning share eps rise eur versus eur,2
dilute earning share eps rise eur eur,2
dilute earning share eps rise eur eur,2
dilute eps rise eur eur,2
ebit margin,2
eps continue operation come eur,2
equity ratio compare quarter net sale frozen food business total eur quarter,2
eur finnish textile clothing design company marimekko oyj hel mmo today net profit rise eur quarter eur corresponding period year early,2
finland base elcoteq privately hold provider electronic manufacturing service communication company thursday sign long term manufacture supply deal communication equipment company andrew corp,2
finnish cutlery hand tool maker fiskar oyj abp hel fisas today net profit rise eur million usd quarter eur million year early,2
finnish department store chain stockmann oyj abp net profit rise mln euro mln month mln euro mln period,2
finnish lifting equipment maker konecrane oyj july net profit rise mln euro mln half mln euro mln period,2
finnish metal industry solution supplier outotec oyj net profit rise mln euro mln month mln euro mln period,2
finnish metal product company componenta oyj net profit rise mln euro mln quarter mln euro mln period,2
finnish office supply computer accessory dealer beltton group plc net profit rise mln euro mln mln euro mln,2
finnish security privacy software solution developer stonesoft oyj january preliminary sale stonegate product grow pct year year mln euro mln fourth quarter,2
finnish silicon wafer technology company okmetic oyj omx helsinki okm report thursday august operating profit eur period january june eur corresponding period,2
finnish software developer solution oyj net profit increase mln euro mln mln euro mln,2
quarter underlie operating profit rise mln eur mln year early,2
month company net profit rise eur eur corresponding period,2
helsinki afx retail wholesale group kesko report net sale mln eur february increase pct year year,2
net sale grow eur eur,2
sale return growth april june ceo pekka eloholma,2
ragutis control finnish brewery report cent rise beer sale million litre hold cent market share,2
svytury utenos alus control nordic group baltic beverage hold bbh post cent growth beer sale january million litre,2
december member lithuanian brewer association sell total million liter beer increase percent sale million liter december,2
january september group net interest income increase eur eur january september,2
bank àland net interest income increase eur eur,2
sweden operating profit period review total eur corresponding period,2
fourth quarter orion net profit year year eur,2
second quarter group net profit rise eur million eur million april june,2
second quarter group net profit rise eur eur april june,2
quarter net sale increase year year eur million comparable currency rate growth,2
quarter net sale increase year year eur comparable currency rate growth,2
market share widen percent percent year early,2
kesko agro eesti retailer wholesaler grain agricultural warehousing machinery accessory net sale million euro increase tenth precede year,2
kesko car import retailing business auto sale grow pct,2
kone net sale rise year year month,2
adp news feb finnish management software solution provider ixono oyj hel xns today net profit rise eur million usd eur million,2
adp news feb finnish solution provider affecto oyj hel afe today net profit rise eur million usd eur million,2
adp news feb finnish fishing tackle company rapala vmc corp hel rap today net profit rise eur million usd eur million,2
adp news nov finnish electronic measurement product solution maker vaisala oyj omx vaias today net profit rise eur million usd month eur,2
adp news oct finnish lifting equipment maker konecrane oyj omx kcr today net profit rise eur million usd month eur million,2
metso expect net sale increase comparable exchange rate,2
net interest income increase eur eur,2
net interest income eur eur,2
net interest income eur eur,2
net sale vegetable oil business rise eur eur,2
nokia multimedia net sale total eur corresponding period,2
operate income rise eur eur,2
operate profit kauppalehti group rise eur eur marketplace eur eur quarter,2
operating profit rise eur eur,2
operating profit rise mln eur mln,2
operating profit rise eur eur corresponding period,2
operating profit rise eur eur corresponding period,2
operating profit rise eur eur corresponding period,2
operating profit rise eur eur corresponding period,2
operating profit rise eur eur,2
operating profit rise eur eur corresponding period,2
operating profit rise eur eur,2
operating profit rise eur eur,2
operating profit rise eur eur corresponding period,2
operating profit rise eur eur year early,2
operating profit surge eur eur,2
operate profit total eur slightly eur corresponding period,2
operate profit total eur eur,2
operating profit eur eur,2
operating profit eur eur,2
order intake grow year year year year respectively eur million eur billion respective january september july september period,2
order receive grow year year eur,2
orion pharma operating profit increase,2
passenger volume rise accounting period,2
passenger relate revenue rise eur eur,2
pretax profit rise eur eur corresponding period,2
pretax profit rise eur eur corresponding period,2
pretax profit rise eur eur,2
pre tax profit total eur eur,2
profit period total eur eur corresponding period,2
profit period eur eur,2
profit period eur eur,2
revenue grow percent billion billion,2
revenue july september grow percent euro million year early company thursday,2
revenue time grow percent million euro,2
sale latin america increase eur total mobile device sell area represent increase corresponding period,2
sanoma magazines finland net sale grow eur eur,2
satama net profit quarter rise euro euro period,2
section regional news demand finnair asian traffic measure passenger kilometer august compare year,2
svytury utenos alus control nordic group baltic beverage hold bbh post percent growth beer sale january september million liter,2
increase estimate sale million year,2
chain post sale million euro rise percent year year,2
company expect net sale increase,2
company operate income ebit total eur eur year year,2
eps outlook increase pct pct,2
fair value investment property total eur eur,2
finnish government announce wednesday sell percent stake chemical fertilizer group kemira oyj million million send company share price percent,2
helsinki base company salomon atomic suunto brand net profit rise percent month dec million million million year early,2
operating profit grain trading increase eur eur,2
stock rise second day wednesday bring day rise gbx,2
stock rise day tuesday bring day rise gbx,2
transaction increase earning share quarter eur,2
total operate revenue grow year year eur,2
vacon cash flow operation grow eur eur year ago,2
basware product sale grow strongly financial period percent,2
february finnish textile clothing company marimekko oyj hel mmo today preliminary operating profit grow eur eur,2
affecto expect net sale increase level reach eur million,2
cash flow operation rise eur eur,2
commission income rise eur eur,2
earning share january june eur increase year year eur,2
earning share eps rise eur eur,2
elisa mobile subscription grow percent mainly customer adopt generation mobile technology,2
eps quarter come eur eur year ago ahead forecast eur,2
eps grow eur eur,2
export grow percent million liter,2
finnish investment group panostaja oyj net profit mln euro mln fiscal end october mln euro mln period fiscal,2
finnish metal component supplier componenta oyj net profit mln euro mln mln euro mln,2
finnish silicon wafer technology company okmetic oyj omx helsinki okm report thursday october operating profit eur january september eur corresponding period,2
fiskar brand report net sale eur eur,2
proportion pay standing order grow,2
january september group net sale continue operation rise eur eur corresponding period,2
july september yit net sale increase eur compare eur corresponding period,2
reporting period net sale rise year year eur business acquisition realize half effect eur review period,2
reporting period company operating profit grow eur million,2
year net sale rise eur million eur million,2
year company raise turnover approximately million lita eur mln million lita,2
marimekko group year net sale estimate increase,2
net sale surge eur million,2
market share rise percent percent year early,2
october december sale mln eur pct increase year year,2
olvi control percent stake ragutis coq annual report publish early year lithuanian brewery sale reach million euro year rise percent million euro,2
olvi expect sale market share increase quarter,2
operate profit increase eur eur corresponding period,2
operate profit asian plant grow markedly,2
operate profit total eur eur,2
operate profit total eur eur year year,2
production capacity increase tonne year raw material continue recycle paper board,2
profit period increase eur eur,2
profit share eur eur,2
return capital employ rise percentage point,2
revenue july september grow percent euro billion finnish company thursday,2
revenue grow percent euro million million euro million,2
ruukki order book end year year quarter quarter,2
sale finland rise international growth,2
sale security system packaging increase slightly,2
stora enso quarter pre tax profit double eur,2
company market share continue increase far,2
company schedule traffic measure revenue passenger kilometre rpk grow nearly passenger carry schedule flight february,2
disposal autotank strengthen aspo capital structure comment gustav nyberg ceo aspo,2
earning share quarter come eur eur quarter year early,2
economic occupancy rate sponda property portfolio rise,2
group month operating profit grow percent million euro,2
growth net sale half compare half,2
pretax profit group life insurance business increase eur million eur million,2
pretax profit group life insurance business increase eur eur,2
total delivery volume paper business tonne tonne,2
value firm forestry holding increase sek,2
turnover rise eur eur,2
finnish talvivaara mining hel tlv thursday pick bofa merrill lynch jpmorgan nyse jpm joint bookrunner plan issue convertible note worth eur usd,1
mall baltic pearl development project city petersburg baltic pearl cjsc subsidiary shanghai foreign joint investment company develop home people,1
vacon control company investment fund power fund eur usd,1
complete shareholder otto henrik bernhard nyberg far information share transfer correspond total number share aspo plc,1
datum processing unit collect datum calculate rvr value provide datum user interface,1
german commerzbank hamburg branch morgan nyse jpm participate arranger dutch ing ams inga arranger,1
increase number share base option right grant management company stock option plan,1
office worldwide pct net sale generate outside finland,1
branch finland annual revenue finland,1
nokia messaging enable customer receive mail mail account mobile phone support pop imap mail service,1
share repurchase helsinki stock exchange behalf sampo plc danske bank helsinki branch,1
contract value eur company add,1
aldata number operational aspect define microsoft detail product market initiative result agreement available later date,1
alexandria kenneth bower vista calif develop ornamental design handset patent trademark office announce,1
biohit oyj develop manufacture market liquid handling product diagnostic test system use research healthcare industrial laboratory,1
ashley deputy executive chairman sport direct sell stake company pound time float,1
rental building equipment account percent operate income,1
ruukki delivery include steel structure include installation krakeroy bascule bridge steel pile bridge foundation,1
stockmann establish finland foreign company enter russia retail trade market,1
broad base wig index end thursday session pct blue chip wig,1
business divest generate consolidated net sale eur million annually currently employee,1
company generate net sale mln euro mln annually employ,1
contract cover manufacture surface treatment installation steel structure,1
order include start commission service,1
phone target time user growth market,1
tielinja generate net sale mln euro mln,1
tikkurila powder coating employee paint plant generate revenue eur usd,1
rental agreement stockmann commit invest building bridge gogol street build underground tunnel cross street,1
vnh generate annual net sale mln eur employ people,1
jan ford struggle face slow truck suv sale surfeit date car,0
pharmaceuticals group orion corp report fall quarter earning hit large expenditure marketing,0
growth margin slow financial crisis,0
helsinki afx nokian tyre report fourth quarter pretax profit mln eur mln strong sale,2
kalnapilio tauro grupe kalnapilis tauras group denmark royal unibrew raise market share percent percent beer sale seven month jump percent million liter,2
company estimate net sale increase considerably operate result clearly positive,2
uponor operating profit eur eur record year,2
basware corporation stock exchange release august basware sign large deal international industrial group basware deliver invoice automation solution connectivity service international industrial group,2
estimate operating profit far improve quarter,2
ruukki forecast annual sale growth positive pretax result,2
sale rise pct mln eur strong volume favourable currency effect,2
growth net sale continue favourably middle east africaand asia pacific,2
appointment kaupthing bank aim far ordinate capital market activity group improve overall service client,2
follow increase huhtamaki register share capital eur number share outstanding,1
helsinki october ssh communications security corp board director information contact tomi laamanen chairman tel distribution nasdaq omx helsinki ltd,1
offer million share aim raise million million expect complete oct outokumpu,1
theodosopoulos tellab value nokia siemen nortel lead supply status verizon high growth product,2
succeed increase market share sell apartment comment kari kauniskangas head yit international construction service,2
capman partner able far develop business continue focus provide quality restaurant service customer christopher wynne ceo papa john russia,2
finnish suominen corporation specialise wet wipe nonwoven flexible packaging report net sale eur second quarter eur second quarter,2
finnish telecom software developer tecnoman oyj december win mln mln euro order supply expansion charging message system mobile fixed network brasil telecom,2
adp news dec finnish construction engineering company outotec oyj omx ote today win eur million usd order expand phosphate concentrator siilinjarvi norwegian minera,2
bank potential getinge share rise,2
company record revenue million fiscal year end december increase,2
robust growth result inclusion clothing chain lindex group december,2
brewery record percent growth domestic beer sale year million liter million liter sell,2
january ephc board director approve increase quarterly dividend share,2
bilfinger investor cheer agreement push share euro euro afternoon trade,2
london afx share rautaruukki corp upgrade hold sell abn amro price target raise eur dealer,2
london marketwatch nokia nok win year service contract run hutchison essar network operation location india,2
progress group qpr representative saudi arabia north africa sign framework agreement long term strategic relationship ise,2
ragutis control finnish brewery olvi achieve percent rise beer sale million liter hold percent market share,2
addition cramo peab sign exclusive year rental agreement finland extend exist rental agreement swedish market year,2
outotec oyj press release december outotec establish new subsidiary kolkata outotec establish subsidiary india order serve indian customer increase business grow indian market,2
original contract sign summer,1
number collection error fall considerably operation speed,2
second quarter group pretax loss narrow eur eur,2
january finnish metal product company componenta oyj hel cth yesterday net loss narrow eur quarter eur period year early,2
finnish liquid handling product diagnostic test system maker biohit oyj hel biobv today net loss narrow eur usd quarter eur period,2
finnish metal product company componenta oyj hel cth today net loss narrow eur usd quarter eur million period year early,2
finnish steel maker rautaruukki oyj hel rtrk ruukki today net loss contract eur million usd month eur million period year ago,2
month talvivaara net loss narrow eur million eur million period,2
month company net loss narrow eur eur million corresponding period,2
month company net loss narrow eur eur corresponding period,2
adp news feb finnish computer service company proha oyj hel art today net loss narrow eur usd eur million,2
new factory working model reorganisation decrease nokian tyre cost factory eur million usd,2
october finnish metal product company componenta oyj hel cth yesterday net loss narrow eur month eur period,2
finnish fiber plastic product maker suominen corporation net loss narrow mln euro mln month mln euro mln period,2
second quarter raute net loss narrow eur eur million period,2
adp new nov finnish print circuit board pcb maker aspocomp group oyj omx acg today net loss narrow eur million usd month eur,2
metsaliitto narrow net loss second quarter mln euro mln mln euro mln year ago,2
narrow eur october finnish software hardware developer elektrobit oyj hel ebg today net loss narrow eur month eur period year ago,2
diluted loss share narrow eur eur,2
unit cost flight operation fall percent,2
loss quarter eur small loss second quarter,2
february finland base steel maker rautaruukki oyj hel rtrk ruukki today slip large expect pretax loss eur fourth quarter year early profit eur,0
adpnew feb finland base steel maker rautaruukki oyj hel rtrk ruukki today slip large expect pretax loss eur million usd fourth quarter,0
result taxis decrease nearly eur compare nearly eur previous accounting period,0
company slip operating loss eur million profit eur million,0
april finnish construction engineering company outotec oyj hel ote today slip net loss eur quarter net profit eur corresponding period year,0
cramo slip pretax loss eur million pretax profit eur million,0
finnish solution provider affecto oyj hel afe today slip net loss eur usd second quarter profit eur corresponding period year early,0
comptel slip net loss eur profit eur previous year,0
profit taxis eur eur,0
adpnews feb finnish real estate investor sponda oyj hel sda today slip net loss eur million usd profit eur million,0
adpnews jul finland base steel maker rautaruukki oyj ruukki hel rtrks today slip net loss eur million usd half net profit eur,0
profit taxis eur eur year ago,0
profit taxis decrease eur month compare eur year early,0
profit taxis decrease eur eur year,0
profit taxis eur eur,0
company profit taxis fall eur quarter compare eur corresponding period,0
august october company result taxis total eur eur corresponding period,2
finnish bore rettig family grow recently acquisition small shipping company,2
plan estimate generate eur million usd cost saving annual basis,2
finnish pharmaceutical company orion report profit taxis eur quarter eur corresponding period,2
finnish sampo bank danish danske bank group report profit taxis eur eur,2
profit taxis period eur eur year,2
profit taxis eur eur year early,2
august finnish measure equipment maker vaisala oyj hel vaias today net loss widen eur half eur corresponding period year early,0
finnish power supply solution system provider efore oyj net loss widen mln euro mln quarter fiscal end october euro mln period fiscal,0
adp news apr finnish business information system developer solteq oyj hel stq today net loss widen eur usd quarter eur peri,0
salonen add datum producer pulp inventory north america decline,0
elcoteq group recently announce month previous year bring major loss half billion kroon eur mln fifth quarter run,0
current year raute expect net sale increase operating result positive,2
turnover surge eur eur increase service demand especially quarter overall growth business,2
result company currently anticipate net sale increase operating result positive,2
upm delivery increase quarter percent efficiency operation improve chief executive jussi pesonen,2
global sport equipment maker amer sport corp brand include atomic salomon wilson percent increase quarter net profit euro million million strong sale cost cut,2
rapid expansion market share tallink term passenger carriage tallinna sadam port tallinn total percent november percent november,2
cash flow operation recent quarter reach year low,0
earning share eps eur loss eur,2
earning share eps eur loss eur,2
operate profit total eur operating loss eur year year,2
operate profit total eur loss eur second quarter,2
operating result include non recur item rise eur loss eur,2
tiimari finnish retailer report geenrate quarterly revenue total eur quarter eur loss,2
earning share eps eur loss eur,2
operate profit total eur loss eur fourth quarter,2
operating profit eur loss eur year early,2
investment operational change enable additional optimisation work hour far cost saving,2
shareholder code petri ailus bear information contact isto hantila ceo tel,1
september finnish stationery gift retailer tiimari hel tii today net sale rise year year eur august drive growth finland demand baltic remain weak,2
cet monday share bavarian nordic climb dkk stock exchange copenhagen having lose past month,2
example net sale increase quarter ebitda increase negative eur quarter,2
growth rate pay national debt extremely painful,0
customer satisfied basware invoice automation solution extend implementation new geography,2
separate business able fast expand develop tapro retail network,2
accord vike line manage director nils erik eklund company board director satisfied vike line performance,2
combine deep domain expertise application service management asm outsourcing service offering prove win combination,2
finnish construction company yit oyj november win mln euro mln contract construct new office building local property company tapiola real estate,2
major order india comptel corporation receive significant long term order mediation provisioning solution use lead operator india,2
olvi post strong set figure month year,2
operate profit improve eur eur,2
standardised service meet positive reception customer itella,2
performance second half exceed expectation,2
ponsse project forest machine market improve expect previous year,2
ragutis base lithuania second large city kauna boost sale year cent million liter,2
raisio bid buy glisten win win deal company chairman snacks firm tell food today february,2
aim annual improvement ruukki construction operating profit eur million usd start,2
transaction positive impact eur earning ruukki recognize fourth quarter year,2
combine activity create value shareholder good employee customer,2
trend sport leisure market favorable month year,2
january finnish solution provider affecto oyj hel afe today win eur usd contract state lithuanian social insurance institution sodra,2
finnish construction group lemmink ñinen award road building contract lithuanian transport administration,2
finnish flexible packaging manufacturer suominen corporation report net sale eur quarter compare eur year early,2
finnish metso paper award contract rebuild sabah forest industry sfi pulp mill sabah malaysia,2
finnish outokumpu technology award new grind technology contract,2
finnish rautaruukki award contract supply install steel superstructure partihallsf ârbindelsen bridge gothenburg sweden,2
accord atria president ceo matti tikkakoski company swedish operation significantly improve quarter,2
accord nordic financial group nordea analyst sami sarkamie nokia portfolio competitive,2
arvo vuorenmaa loviisa plant general manager application new licence standard procedure confident approval grant,2
basware ceo ilkka sihvo comment conjunction interim report basware succeed second quarter,2
cision sale return operation profitability,2
citigroup inc nyse announce global transaction service gts business award new mandate finland base pohjola bank group,2
department store sale improve eur,2
finland national carrier finnair plc carry record million passenger increase percent previous year airline report tuesday,2
finnair plc carry record million passenger increase percent previous year finnish national carrier report tuesday,2
finnish consulting engineering group poyry plc omx helsinki poy wednesday october award contract tanqia dibba fzc owner engineer wastewater system dibba emirate fujairah uae,2
finnish handling system company cargotec oyj hel cgcbv today win eur million usd contract deliver macgregor hatch cover ship order norwegian shipowner grieg shipping,2
finnish steel maker rautaruukki oyj ruukki july win mln euro mln contract supply install steel superstructure partihallsforbindelsen bridge project gothenburg western sweden,2
broker outperform recommendation stock,2
year sysopen digia invest ibm product know building portal trading place system successfully implement customer solution support,2
adp news oct finnish consulting engineering company poyry oyj omx poy today award eur million usd extension exist consultancy engineering contract venezuel,2
adp news oct finnish food company raisio oyj omx raivv today net profit jump eur million usd month eur million period,2
adp news sep finnish security privacy software solution developer stonesoft oyj today win usd million eur order deliver stonegate network security product unnamed russian,2
outotec net profit second quarter jump mln euro mln mln euro mln year ago,2
pretax profit jump eur million eur million,2
profitability ebit compare previous year period,2
sale improve sek compare sek,2
savon koulutuskuntayhtyma finland base company award contract specialist agricultural forestry machinery,2
skf april alandsbanken buy recommendation swedish industrial company skf sto skf share price target sek,2
sport equipment sale progress owe prolonged winter season,2
tele affarsvarlden buy recommendation mobile operator tele share price target crown euro,2
acquisition immediate positive impact aspocomp financial result,2
australian company mirabela nickel award outokumpu technology contract grind technology nickel sulfide project bahia state brazil,2
company poland profitability program launch oborniki steel frame sandwich panel plant,2
group strong global position fishing category,2
original componenta subsidiary finnish componenta group change component company growth comparison,2
result improved sale figure sweden,2
upm kymmene upgrade line underperform goldman sach,2
demand sport equipment good,2
finlan list food industry company hkscan group control company baltic improve revenue eur eur eur year,2
finnish airline finnair win deal public sector official airline flight london heathrow osaka japan flight manchester helsinki finland,2
finnish cargotec kalmar receive significant order department defense,2
cargotec germany gmbh award contract stadtverwaltung mainz chassis body open procedure,2
earning share quarter high year year eur versus market expectation eur,2
ebitda year improve eur compare eur,2
finnish construction group lemminkainen oyj hel lem today win contract provide technical service nevsky centre shopping mall open november petersburg russia,2
finnish software developer basware oyj november subsidiary basware inc win order provide software contract lifecycle management unnamed medical technology company,2
sale volume food industry expect remain relatively good level finland scandinavia atria,2
nordea return positive growth baltic country,2
operate profit improve eur,2
operate profit improve eur eur,2
operate profit improve eur,2
operate profit improve eur eur,2
previously company anticipate operating profit improve period,2
productional situation improve,2
rautaruukki construction group yit award mln eur contract supply steel structure new bridge span kemijoki river northern finland,2
sale come mln eur compare mln beat consensus forecast mln eur,2
thank multiply effect wagon performance transport efficient development manager juha malkia cargo,2
company garden tool scissor consumer good earning boost mln eur income receive pct shareholding finnish engineering group wartsila,2
company anticipate turnover surpass previous year eur million,2
eps improve eur eur,2
financial impact estimate annual improvement eur division result fiscal year,2
financial impact estimate meur annual improvement division result start fiscal year,2
rationalization operation seek achieve eur million yearly saving second quarter current financial year,2
sale result gain eur million second quarter oriola support finnish company strategy focus pharmaceutical wholesale retail operation,2
turun kaupunkin finland base company award contract lemminkainen talotekniikka electrical installation work,2
moderate significant change result significant reduction estimate cvd risk,2
uponor improve performance spite decrease residential construction,2
simultaneously responsibility area extend legal affair cover merger acquisition,1
plant ground continue grow success garden lie maintain,1
poyry contract include engineering management civil detail engineering service time scheduling procurement service,1
addus service include personal care assistance activity daily live skilled nursing rehabilitative therapy adult day care,1
aldata solution oyj bertrand sciard president ceo information aldata solution oyj bertrand sciard president ceo tel aldata retail wholesale aldata business dedicate retail wholesale business improvement,1
alfa group vote stock new company telenor free float,1
altogether subject mildly elevated cholesterol level participate month long intervention,1
arto ryymin bear replace juhani kaisanlahti work act evp healthcare welfare august,1
capman haavisto responsible group finance accounting,1
cablevision systems corp cvc madison square garden division operate new york knickerbockers basketball team madison square garden arena new york ranger hockey team new york liberty woman basketball team hartford wolf pack hockey team,1
capman investment area capman buyout capman technology capman life science capman russia capman public market capman real estate dedicated team fund,1
capman plc press release march jukka ruuska president omx nordic exchange stockholm stock exchange transfer capman effective later september,1
cent profile contain business operation company history major product service prospect key competitor structure key employee location subsidiary,1
conference participate conference dial minute beginning event europe usa,1
construction schedule start april june complete early,1
found strand associate provide civil environmental transportation electrical mechanical engineering service employee office wisconsin alabama illinois indiana kentucky ohio,1
halonen office acknowledge receive letter decline comment,1
headquarter city company nearly year old focus science base innovation technology environmental measurement,1
lee man combine annual production capacity close million tonne paper tonne pulp,1
method smelt spout separate work area shielding wall arrange movable relation smelt spout,1
necessary strengthen company operation,1
lie succeed walter nter base finland,1
lemminkainen infra subsidiary lemminkainen sverige perform construction work expect start early complete summer,1
los angeles base pacific office property trust acquire operate office property western focus initially market honolulu san diego los angeles phoenix,1
mikko saavalainen head comptel global sale conclude gibtelecom provide perfect illustration variety business technical regulatory challenge operator face oss today,1
professional consumer application include personal navigation personal safety field workflow management asset tracking,1
satama trainer house remain independent brand business area,1
mention shareholder suggest monthly salary eur pay board member outside company,1
address location provide local controller preferably wireless transmission use address location access appliance control module,1
bank examine benefit transfer swedish business operate branch office operation govern finland law,1
donation grant aalto university university helsinki tampere turku eastern finland jyv ñskyl oulu vaasa polytechnic announce later,1
guidance set basis point mid swap report,1
invention carry international patent publication,1
inventor bylander johan ponten fredrik lundberg jorgen,1
inventor mukkavilli krishna kiran sabharwal ashutosh aazhang behnaam,1
inventor ridge justin bao yiliang karczewicz marta,1
issuer solely responsible content announcement,1
issuer solely responsible content announcement,1
market making accordance agreement begin september,1
offer price million include cash million net debt assumption face million worth cencorp share issue savcor,1
original patent file finland application,1
swedish subsidiary hold net smelter return nsr royalty advanced copper project northern sweden viscaria adak project develop avalon minerals ltd asx avi,1
total investment vantaa plant extension million euro okmetic share investment worth million,1
welcome,1
need ready window open rosberg,1
director shareholder alike ask practice allow continue,1
issue identify stonesoft affect range content inspection technology,1
want credit card info personal detail,1
dopplr dopplr service smart traveller,1
accord sweden minister local government financial market mat odell decision sell state share telecom group teliasonera carry cooperation state finland,1
accord capman plc corporate governance majority committee member shall independent company,1
accord finnair technical service measure employment situation,1
accord honka japan manage director marko saarelainen honkarakenne export ready log house japan year,1
accord preliminary datum slovakia statistics office good worth million import finland january october percent slovakia total import,1
